Location,Status,Time,ID,TempCelsius,Description,Attendence,StageName,Source,Target,DateTime,Winner,HomeTeamGoals,HomeTeamPenalties,AwayTeamGoals,AwayTeamPenalties,HomeTeamEvents,AwayteamEvents
Moscow,Luzhniki Stadium,completed,full-time,300331503,17,Partly Cloudy,78011,First stage,Russia,Saudi Arabia,2018-06-14T15:00:00Z,Russia,5,0,0,0,goal - substitution-in - substitution-out - goal - substitution-in - substitution-out - substitution-in - substitution-out - goal - yellow-card - goal - goal,substitution-in,substitution-out - substitution-in - substitution-out - substitution-in - substitution-in - substitution-out - yellow-card
Ekaterinburg,Ekaterinburg Arena,completed,full-time,300353632,14,Partly Cloudy,27015,First stage,Egypt,Uruguay,2018-06-15T12:00:00Z,Uruguay,0,0,1,0,substitution-in - substitution-out - substitution-in - substitution-out - substitution-in - substitution-out - yellow-card - yellow-card -  -  -  - ,substitution-in,substitution-out - substitution-in - substitution-out - substitution-in - substitution-out - goal - 
St. Petersburg,Saint Petersburg Stadium,completed,full-time,300331526,25,Partly Cloudy,62548,First stage,Morocco,Iran,2018-06-15T15:00:00Z,Iran,0,0,1,0,yellow-card - substitution-in - substitution-in - substitution-out - substitution-in - substitution-out - substitution-in - substitution-out - goal-own -  -  - ,yellow-card,yellow-card - substitution-in - substitution-out - substitution-in - substitution-in - substitution-out - substitution-in
Sochi,Fisht Stadium,completed,full-time,300331524,24,Partly Cloudy Night,43866,First stage,Portugal,Spain,2018-06-15T18:00:00Z,Draw,3,0,3,0,goal-penalty - yellow-card - goal - substitution-in - substitution-out - substitution-in - substitution-out - substitution-in - substitution-out - goal -  - ,yellow-card,goal - goal - goal - substitution-in - substitution-out - substitution-in - substitution-out
Kazan,Kazan Arena,completed,full-time,300331533,19,Sunny,41279,First stage,France,Australia,2018-06-16T10:00:00Z,France,2,0,1,0,goal-penalty - substitution-in - substitution-in - substitution-out - substitution-out - yellow-card - substitution-in - substitution-out - goal -  -  - ,yellow-card,yellow-card - goal-penalty - substitution-in - substitution-out - substitution-in - substitution-out - goal-own
Moscow,Spartak Stadium,completed,full-time,300331515,22,Sunny,44190,First stage,Argentina,Iceland,2018-06-16T13:00:00Z,Draw,1,0,1,0,goal - substitution-in - substitution-out - substitution-in - substitution-out - substitution-in - substitution-out -  -  -  -  - ,goal,substitution-in - substitution-out - substitution-in - substitution-out - substitution-in - substitution-out - 
Saransk,Mordovia Arena,completed,full-time,300331528,18,Partly Cloudy,40502,First stage,Peru,Denmark,2018-06-16T16:00:00Z,Denmark,0,0,1,0,yellow-card - substitution-in - substitution-out - substitution-in - substitution-out - substitution-in - substitution-out -  -  -  -  - ,substitution-in,substitution-out - goal - substitution-in - substitution-out - substitution-in - substitution-out - yellow-card
Kaliningrad,Kaliningrad Stadium,completed,full-time,300331523,20,Partly Cloudy,31136,First stage,Croatia,Nigeria,2018-06-16T19:00:00Z,Croatia,2,0,0,0,yellow-card - substitution-in - substitution-out - goal-penalty - substitution-out - substitution-in - substitution-out - substitution-in - yellow-card -  -  - ,goal-own,substitution-in - substitution-out - yellow-card - substitution-out - substitution-in - substitution-out - substitution-in
Samara,Samara Arena,completed,full-time,300331529,22,Sunny,41432,First stage,Costa Rica,Serbia,2018-06-17T12:00:00Z,Serbia,0,0,1,0,yellow-card - yellow-card - substitution-out - substitution-in - substitution-out - substitution-in - substitution-out - substitution-in -  -  -  - ,goal,yellow-card - substitution-out - substitution-in - substitution-out - substitution-in - substitution-out - substitution-in
Moscow,Luzhniki Stadium,completed,full-time,300331502,23,Sunny,78011,First stage,Germany,Mexico,2018-06-17T15:00:00Z,Mexico,0,0,1,0,substitution-out - substitution-in - substitution-out - substitution-in - yellow-card - yellow-card - substitution-out - substitution-in -  -  -  - ,goal,yellow-card - substitution-out - substitution-in - substitution-out - substitution-in - substitution-out - substitution-in
Rostov-On-Don,Rostov Arena,completed,full-time,300331525,25,Partly Cloudy Night,43109,First stage,Brazil,Switzerland,2018-06-17T18:00:00Z,Draw,1,0,1,0,goal - yellow-card - substitution-out - substitution-in - substitution-out - substitution-in - substitution-out - substitution-in -  -  -  - ,yellow-card,goal - yellow-card - yellow-card - substitution-out - substitution-in - substitution-out - substitution-in
Nizhny Novgorod,Nizhny Novgorod Stadium,completed,full-time,300331499,25,Partly Cloudy,42300,First stage,Sweden,Korea Republic,2018-06-18T12:00:00Z,Sweden,1,0,0,0,yellow-card - goal-penalty - substitution-out - substitution-in - substitution-out - substitution-in - substitution-out - substitution-in -  -  -  - ,yellow-card,substitution-out - substitution-in - yellow-card - substitution-out - substitution-in - substitution-out - substitution-in
Sochi,Fisht Stadium,completed,full-time,300331539,24,Partly Cloudy,43257,First stage,Belgium,Panama,2018-06-18T15:00:00Z,Belgium,3,0,0,0,yellow-card - goal - yellow-card - goal - substitution-out - substitution-in - goal - substitution-out - substitution-in - yellow-card - substitution-out - substitution-in,yellow-card,yellow-card - yellow-card - yellow-card - yellow-card - substitution-out - substitution-out - substitution-in
