Venue,ID,Source,Target,Winner,HomeTeamGoals,AwayTeamGoals,Temperatur,GoalsHome,OwnGoalsHome,YellowCardHome,RedCardHome,SubstitutionInHome,SubstitutionOutHome,GoalsAway,OwnGoalsAway,YellowCardAway,RedCardAway,SubstitutionInAway,SubstitutionOutAway
Moscow,300331503,Russia,Saudi Arabia,Russia,5,0,17,5,0,1,0,3,3,0,0,1,0,4,3
Ekaterinburg,300353632,Egypt,Uruguay,Uruguay,0,1,14,0,0,2,0,3,3,1,0,0,0,3,3
St. Petersburg,300331526,Morocco,Iran,Iran,0,1,25,0,1,1,0,4,3,0,0,2,0,4,2
Sochi,300331524,Portugal,Spain,Draw,3,3,24,2,0,1,0,3,3,3,0,1,0,2,2
Kazan,300331533,France,Australia,France,2,1,19,1,0,1,0,3,3,0,1,2,0,2,2
Moscow,300331515,Argentina,Iceland,Draw,1,1,22,1,0,0,0,3,3,1,0,0,0,3,3
Saransk,300331528,Peru,Denmark,Denmark,0,1,18,0,0,1,0,3,3,1,0,1,0,3,3
Kaliningrad,300331523,Croatia,Nigeria,Croatia,2,0,20,0,0,2,0,3,3,0,1,1,0,3,3
Samara,300331529,Costa Rica,Serbia,Serbia,0,1,22,0,0,2,0,3,3,1,0,1,0,3,3
Moscow,300331502,Germany,Mexico,Mexico,0,1,23,0,0,2,0,3,3,1,0,1,0,3,3
Rostov-On-Don,300331525,Brazil,Switzerland,Draw,1,1,25,1,0,1,0,3,3,1,0,3,0,2,2
Nizhny Novgorod,300331499,Sweden,Korea Republic,Sweden,1,0,25,0,0,1,0,3,3,0,0,2,0,3,3
Sochi,300331539,Belgium,Panama,Belgium,3,0,24,3,0,3,0,3,3,0,0,5,0,1,2
Volgograd,300331554,Tunisia,England,England,1,2,24,0,0,0,0,3,3,2,0,1,0,2,3
Saransk,300331550,Colombia,Japan,Japan,1,2,27,1,0,2,1,3,3,1,0,0,0,3,3
Moscow,300331545,Poland,Senegal,Senegal,1,2,27,1,2,1,0,3,3,1,0,2,0,2,3
St. Petersburg,300331495,Russia,Egypt,Russia,3,1,15,2,0,1,0,3,3,0,1,2,0,2,3
Moscow,300331511,Portugal,Morocco,Portugal,1,0,20,1,0,1,0,3,3,0,0,1,0,3,4
Rostov-On-Don,300331530,Uruguay,Saudi Arabia,Uruguay,1,0,32,1,0,0,0,3,3,0,0,0,0,3,3
Kazan,300331496,Iran,Spain,Spain,0,1,18,0,0,2,0,3,3,1,0,0,0,3,3
